productId,productName,,category,website,,,flavorText,labResults,productBasePrice,gender,who_ind,ageMin,ageMax,,giftType,hobbiesInterests,tags,tags_sort,tags_display,product_card_banner
100012,Victorinox Fibrox Pro Chef's Knife,"Victorinox Fibrox Pro Chef's Knife,",Home Chef,Amazon,,,"Anyone who loves to cook, but isn't quite ready for a more robust Chef's Knife.","Lab Results: We're big fans of a classic, robust chef's knife, a true game changer in the kitchen. If the best they are using is an off brand knife you stole from your parents, or the box set of knives you bought in college, this will feel like a major upgrade. You may recognize Victorinox as the same folks who make Swiss Army Knives, and the 8'' Victorinox Fibrox is a great all, purpose knife they can handle just about any task in the kitchen.

Like the idea but looking for an upgrade? Check out the ~~ID=“100016” text=“Wüsthof Classic Ikon”~~ as our premium pick in this category.",54,null,null,18,120,,essentials,homeChef,"affordable,practical,efficient","practical,efficient,indoors","homeChef,affordable,practical",
100013,JBL FLIP 5,"JBL FLIP 5,",Technology,Amazon,,,"For those who consider music an important part of their daily routine, we recommend the JBL family of portable Bluetooth speakers.","Lab Results: The FLIP 5 is a robust speaker system, offering great battery life and sound quality. Indoors or outdoor play, feel free to set this one up in your office or take it out to the beach. Bluetooth pairing works without a hitch.

Like the idea but looking for something more affordable and portable? Check out the ~~ID=“100014” text=“JBL CLIP 3”~~.",129.95,null,null,12,120,,"essentials,interestingAndFun","music,technology",music,music,"technology,music",
100014,JBL CLIP 3,"JBL CLIP 3,",Technology,Amazon,,,"Beachgoers, bike riders, and hikers.","Lab Results: For those of you who either want a budget-friendly version of the ~~ID=“100013” text=“JBL FLIP 5”~~or an even more portable alternative, we recommend the JBL CLIP 3. This little device has surprisingly great sound quality, easy to use Bluetooth pairing, and ten hours of battery life. It's durable too, we've had one for years that keeps on kicking despite being into backpacks, bags, and stuff sacks.",49.95,null,coworker,12,120,,"essentials,interestingAndFun","music,technology",music,music,"technology,music",
100015,Nespresso Essenza Mini Espresso Machine,"Nespresso Essenza Mini Espresso Machine,",Home Chef,Amazon,,,Coffee connoisseurs who like their espresso just so… and strong!,"Lab Results: Simple and easy to use, this is our favorite pod espresso maker due to its speed and relatively small size. Just be aware that although it can pour a longo, it isn't designed for a full sized cup of coffee. This device is designed for espresso through and through, and we think its countertop space saving low profile is a plus.",219.95,null,null,12,120,,essentials,homeChef,coffee,"coffee,indoors","homeChef,coffee",
100016,WÜSTHOF CLASSIC IKON 8 Inch Chef’s Knife,"WÜSTHOF CLASSIC IKON 8 Inch Chef’s Knife,",Home Chef,Amazon,,,"Anyone who loves to cook, and most people who don’t.","Lab Results: This is the number one gift we recommend for any home chef. If they don't have one, they need one.

Like the idea but looking for something more affordable? Check out the ~~ID=“100012” text=“Victorinox Pro”~~ our budget picket in this category.",180,null,null,18,120,,essentials,homeChef,"mustOwn,practical,efficient","practical,efficient,indoors","homeChef,mustOwn,practical",
100017,TreeMendous Christmas Tree Ornament Decorating Kit,"TreeMendous Christmas Tree Ornament Decorating Kit,",Arts and Crafts,Amazon,,,"Little ones that are too small to help decorate the tree, but still want to help decorate the tree.",Lab Results: Wish you could have the joy of decorating Easter eggs more than once a year? Make it at least twice with this little ornament decorating kit.,29.99,null,null,3,5,,interestingAndFun,artsAndCrafts,"creative,artsy","creative,artsy","artsAndCrafts,creative,artsy",
100018,ChalkScapes Roll-Up Chalk Mat With Five Jumbo Chalks,"ChalkScapes Roll-Up Chalk Mat With Five Jumbo Chalks,",Arts and Crafts,Amazon,,,"Outdoor artists, but the weather isn't quite right.","Lab Results: Like an office whiteboard for kids, the size of this thing helps stimulate the imagination, as well as bring the fun of chalk indoors.",29.98,null,null,3,5,,interestingAndFun,artsAndCrafts,"creative,artsy","creative,artsy","artsAndCrafts,creative,artsy",
100019,Tumble Mat - Vibrant Colors,"Tumble Mat - Vibrant Colors,",Exercise,Amazon,,,"Future gymnasts, or anyone just practicing their cartwheels.","Lab Results: This mat is bright and fun enough to encourage physical play, but thick and padded enough to keep them self. A great addition for when they've started to really enjoy tumbling around.",69.99,null,null,3,5,,interestingAndFun,null,athletic,athletic,"exercise,athletic",
100022,Deluxe Magnetic Standing Art Easel,"Deluxe Magnetic Standing Art Easel,",Arts and Crafts,Amazon,,,Future artists.,"Lab Results: We're big fans of Melissa and Doug products. This Easel features a chalk board on one side, with a dry erase board on the other. It even has a paper guide and tear bar in case you'd like to get paints involved.",107.99,null,null,3,5,,interestingAndFun,artsAndCrafts,"creative,artsy","creative,artsy","artsAndCrafts,creative,artsy",
100023,Wooden Fold & Go Barn,"Wooden Fold & Go Barn,",Toys,Amazon,,,Kids looking to put in an honest days work.,Lab Results: This is a good one to help reinforce learning all the different animals. Your little one will love the handles that allow them to take this barn on the go.,59.49,null,null,3,5,,interestingAndFun,null,fun,,"toys,fun",
100024,Goldie the Rocking Unicorn,"Goldie the Rocking Unicorn,",Toys,Amazon,,,Princesses that require a magic steed.,"Lab Results: Cute, soft, and looks great, this rocking unicorn by Hearthsong is sure to delight. Remember, kids develop through play, and a rocking horse like this one encourages all the little core muscles they'll need to sit up straight.

Ready to go mobile? Check out these ~~ID=“100025” text=“inflatable jump-along toys”~~.",89.97,null,null,3,5,,interestingAndFun,null,"cute,fun",,"toys,cute,fun",
100025,Bouncy Inflatable Animal Jump-Along,"Bouncy Inflatable Animal Jump-Along,",Exercise,Amazon,,,Dinosaur cowboys and cowgirls.,"Lab Results: As we mentioned in our note on ~~ID=“100024” text=“rocking chairs”~~, jumping around on one of these is really building core strength and mobility. With a variety of designs. they're pretty fun as well, and being an inflatable they are nice and soft for your toddler.",29.94,null,null,0,2,,interestingAndFun,null,fun,,"exercise,fun",
100026,Learning Resources Coding Critters Ranger & Zip,"Learning Resources Coding Critters Ranger & Zip,",Educational,Amazon,,,"Parents looking for an interactive, educational, and legitimately fun way to introduce coding to their kids.","Lab Results: In this day and age, it's never to early to learn to code. Good for age's 4 and up, this kit will get them learning some basic concepts in a scree free format.",32.06,null,null,4,7,,interestingAndFun,null,"creative,science",creative,"educational,creative,science",
100027,Spikeball Standard 3 Ball Kit,"Spikeball Standard 3 Ball Kit,",Outdoor Games,Amazon,,,"Anybody who loves an active day at the beach, or needs a little extra excitement at a barbecue.","Lab Results: Admit it, you've seen cooler people than you play this game at the beach and wanted in. Be those cool people. Surprisingly easy to set up and play, Spikeball is a great way to add a little extra fun to your day out.

In the right ballpark but looking for something else? How about ~~ID=“100029” text=“Bocce Ball”~~?",69.96,null,null,12,120,,"essentials,interestingAndFun",outdoorGames,"athletic,competitive","athletic,competitive,outdoors","outdoorGames,athletic,competitive",
100029,GoSports Backyard Bocce Set,"GoSports Backyard Bocce Set,",Outdoor Games,Amazon,,,For when the world is your gaming court.,"Lab Results: Bocce traces its roots back to at least 5,000 BC and eventually gaining popularity in Italy where the Romans spread it around the world. Possibly our favorite outdoor game, Bocce neatly walks the line between a highly competitive and delightfully laid-back game. You can play this game on an official court, but we find it at its best when you simply improvise in your back yard.

In the right ballpark but looking for something else? How about ~~ID=“100027” text=“Spikeball”~~?",39.95,null,null,12,120,,"essentials,interestingAndFun",outdoorGames,"athletic,competitive","athletic,competitive,outdoors","outdoorGames,athletic,competitive",
100033,Fitbit Charge 5,"Fitbit Charge 5,",Health And Wellness,Amazon,,,"Whether you’re out and about or remaining cautious, a Fitbit can help you get your physical health back on track.","Lab Results: This is the smart watch for when you want to get in shape. The Charge 5 does an excellent job of automatically detecting when a workout has begun, as well as divvying up your exercise time into what it calls Active Zone Minutes; time spent between fat burning, cardio, and peak workouts. We particularly enjoy the sleep tracking features, monitoring sleep duration as well as gauging your restlessness throughout the night. There's a very good chance you'll go from couch potato to stomping around your house because you are 200 steps shy of your 10,000 step goal.

This is our generalist pick, but if you dead set on running a marathon we do recommend the ~~ID=“100140” text=“Garmin Forerunner”~~.",149.95,null,null,12,120,,essentials,"healthAndWellness,technology","athletic,healthNut","athletic,outdoors","healthAndWellness,athletic,healthNut",
100034,Frank Herbert's Dune Saga Collection: Books 1 - 6,"Frank Herbert's Dune Saga Collection: Books 1 - 6,",Reading,Amazon,,,"If they own one of these series, they will love the rest, and if they are just getting started in Sci-Fi they might as well start at the beginning.","Lab Results: A deep bit of nerd culture that has finally made it mainstream with 2021's feature film release, the Dune saga is one of the original great sci-fi epics. We do recommend it to anyone that enjoyed the movie, or even the 1984 version which is a wilder ride, but where this really shines as a great gift is for people that read the original back in the 60's but never had a chance to finish the set. It's also required reading for fans of Star Wars and Game of Thrones, both of which clearly draw inspiration from this series.",54.99,null,null,12,120,,interestingAndFun,reading,"nerdy,books","nerdy,books,indoors","reading,nerdy,books",
100036,All-new Kindle Paperwhite,"All-new Kindle Paperwhite,",Reading,Amazon,,,Folks who want to give the gift of a few good books – and a convenient way to read them.,"Lab Results: This is another one that I wanted to dislike, as I love books and the feel and scent of the paper that comes with them. That said, I'm reading far more now that I've picked up a Kindle. There's something about having dozens of books at your fingertips that makes it easier to roll right into the next one without taking a break. Also, if you're looking for an alternative to scrolling on your phone before bed we strongly recommend picking one up. Sure, it's still a screen, but E Ink somehow feels healthier than staring at your phone. ",139.99,null,null,12,120,,"essentials,interestingAndFun,thoughtful","reading,technology","essential,upgrade,books,technology","books,technology,indoors","reading,essential,upgrade",
100037,The Waldorf Astoria Bar Book,"The Waldorf Astoria Bar Book,",Mixology,Amazon,,,Reading and sipping a cocktail go hand in hand. So why not gift a mixology book to your friends and family?,"Lab Results: This is our favorite cocktail book for drinks that you'd actually want to drink. An interesting blend of history, taste, and entertainment, you'll get plenty of use out of this one.",14.99,null,null,21,120,,interestingAndFun,"reading,mixology","creative,books","creative,books,indoors","mixology,creative,books",
100038,The Fine Art of Mixing Drinks,"The Fine Art of Mixing Drinks,",Mixology,Amazon,,,Reading and sipping a cocktail go hand in hand. So why not gift a mixology book to your friends and family?,"Lab Results: Written in 1948, this book established David A. Embury as the grandfather of all classic cocktails. Embury was an opinionated man, with a dry, witty tone that is lovely to read. He believed in a stiff cocktail, his preferred ratio was 8 parts base liquor, 2 parts sour, 1 part sweet. With this ratio in hand, hundreds of combinations of drinks are possible. There is even a chapter on swapping out ingredients called ""Roll Your Own"" which pairs very nicely with these ~~ID=“100055” text=“mixology dice”~~.",39.95,null,null,21,120,,interestingAndFun,"reading,mixology","creative,books","creative,books,indoors","mixology,creative,books",
100040,Moscow Mule Copper Mugs,"Moscow Mule Copper Mugs,",Mixology,Amazon,,,"Anyone that eats, and drinks, with their eyes.","Lab Results: This is a fun one, there are few pieces of drinking paraphernalia as recognizable as a copper mug. If they'll take a Moscow Mule every time one is offered, why not send them home with one?",21.97,null,null,21,120,,essentials,mixology,"fun,alcohol","alcohol,indoors","mixology,fun,alcohol",
100041,Godinger Bar Set,"Godinger Bar Set,",Mixology,Amazon,,,Home entertainers who want to show off their bartending skills or anyone who wants drinks at home – done right.,"Lab Results: A bar set is a wonderful housewarming gift, and this one has an eye appeal that can't be beaten. There is something endlessly classy about a good bar shaker and encourages the recipient to appreciate the atmosphere that a good cocktail brings to the game.",99.99,null,null,21,120,,essentials,mixology,"classy,alcohol","classy,alcohol,indoors","mixology,classy,alcohol",
100042,Stardew Valley,"Stardew Valley,",Gaming,Amazon,,,"People that think farming would be a really relaxing life, but also wish their were cute monsters to slay in a nearby dungeon.","Lab Results: I love this game, and although it is a great game for one player what makes it a great gift is its couch co-op mode. It's one of the best co-op experiences in years, particularly for those of you trying to get a non-gamer into gaming. My wife and I have put dozens of hours into it, and I treasured the first moment she grew independent and started developing her own bits of the farm.",35.99,null,null,12,120,,"essentials,interestingAndFun",gaming,"fun,relaxing",indoors,"gaming,fun,relaxing",
100046,Nintendo Switch with Neon Blue and Neon Red Joy‑Con,"Nintendo Switch with Neon Blue and Neon Red Joy‑Con,",Gaming,Amazon,,,Old Nintendo fans that want to introduce gaming to New Nintendo fans.,"Lab Results: You know who's having a hard time finding a PS5? Not you, because you're looking for a Nintendo Switch, which has been out for long enough that you can pick them up just about anywhere games are sold. The catalogue for this system has been stellar, boasting everything from relaxing titles like ~~ID=“100042” text=“Stardew Valley”~~. to tough games like ~~ID=“100148” text=“Hades”~~.",296,null,null,12,120,,"essentials,interestingAndFun",gaming,essential,indoors,"gaming,essential",
100047,Mini-pancake Maker,"Mini-pancake Maker,",Home Chef,Amazon,,,"This product, as well as the similar Mini-Waffle Maker, make a great addition for anyone with kids at home or a late night-sweet tooth.","Lab Results: This is a fun one. The price point also makes them perfect as a gag gift for the office party. That said, this little device is surprisingly useful, and your recipient may find themselves using it more frequently than they first expect.",12.99,null,coworker,12,120,,interestingAndFun,homeChef,whiteElephant,indoors,"homeChef,whiteElephant",
100049,Nana Hats,"Nana Hats,",Just for Fun,Amazon,,,Chimpanzees that like prefer their favorite snack to also be adorable.,"Lab Results: These really embody the Just for Fun category of gift giving. If you know your audience, they're guaranteed for a laugh. Great for White Elephant gifts or stocking stuffers, we particularly like how the different designs make this one customizable. They also come with a silicone cap containing a magnet, ensuring that your banana hats always stay secure.",12.99,null,coworker,12,120,,interestingAndFun,homeChef,quirky,"quirky,indoors","justForFun,quirky",
100050,From Crook to Cook,"From Crook to Cook,",Just for Fun,Amazon,,,Are you curious what to pair with your gin and juice? Snoop provides a series of surprisingly down to earth and accessible recipes.,"Lab Results: A good White Elephant gift for someone that is a fan of both cooking and music. As you may expect, this gift is not a deep dive into the culinary arts as much as it is a love letter to homestyle cooking, Oddly that means you end up with a surprisingly accessible take on classics takes on ribs, mac & cheese, quesadillas, and all sorts of cookies. There are also plenty of little dips into Snoops personal style, including what he keeps in his pantry.",12.74,null,null,12,120,,interestingAndFun,homeChef,"entertaining,books","books,indoors","justForFun,entertaining,books",
100052,Monopoly Deal,"Monopoly Deal,",Board Games,Amazon,,,Fans of the original Monopoly that want to get down to business in a new format.,"Lab Results: A faster paced version of monopoly that makes the perfect stocking stuffer, and we do mean fast. This game avoids the classic issue of the 3 hour monopoly game, with most games lasting less than 30 minutes. You can take this one with you to the local restaurant or bar and end up playing multiple rounds over the course of an evening.",5.99,null,null,12,120,,interestingAndFun,boardGames,portable,,"boardGames,portable",
100053,The Unemployed Philosophers Guild Heat Changing Constellation Mug,"The Unemployed Philosophers Guild Heat Changing Constellation Mug,",Just for Fun,Amazon,,,Armchair astronomers.,"Lab Results: This is another good one for White Elephant. Pour in a hot cup of coffee and watch the constellations develop.

In the market for a different mug? How about ~~ID=“100060” text=“something more festive”~~.",16.95,null,null,12,120,,interestingAndFun,homeChef,"coffee,science","coffee,indoors","homeChef,coffee,science",
100054,The New York Times Big Book of Mini Crosswords,"The New York Times Big Book of Mini Crosswords,",Board Games,Amazon,,,"The puzzler on the go, so they may never be without a crossword to solve.","Lab Results: This is a simple one, if you know they like crosswords this is a home run. With over 500 short form crosswords, they can spend anywhere from 5 minutes to several hours enjoying this book. Being short format, they're surprisingly addictive, making them a great travel companion and stress reliever.

Speaking of mini puzzles, check out these ~~ID=“100183” text=“tiny jigsaw puzzles”~~.",15.89,null,null,12,120,,interestingAndFun,boardGames,portable,portable,"boardGames,portable",
100055,Mixology Dice® (pouch),"Mixology Dice® (pouch),",Mixology,Amazon,,,"Drinkers that demand spontaneity but lack improv skills, get some dice to force your hand.","Lab Results: Interesting in rolling your own drinks? These make it easy and fun to mix and match all sorts of different flavors. Great for very experienced, and very inexperienced mixologists. We also love it for parties, show up, be the center of entertainment, and then be sure to leave them behind.",24,null,null,21,120,,interestingAndFun,mixology,"fun,creative,alcohol","creative,alcohol","mixology,fun,creative",
100056,Echo Dot (3rd Gen) - Smart speaker with Alexa,"Echo Dot (3rd Gen) - Smart speaker with Alexa,",Technology,Amazon,,,Would you prefer that your house by wired with surround sound so your favorite music and follow you from room to room?,"Lab Results: These smart speakers are easy to set up, pair well with each other, and end up being surprisingly addictive to use. Seriously, the frequency that we ask Alexa for a quick search to settle a bet is stunning. If you are purely looking for sound quality you can probably do better but given all the other functions and the price point, we really like these little devices.",24.99,null,coworker,12,120,,essentials,"technology,music","music,technology","music,technology","technology,music",
100057,"Cavallini Papers & Co. National Parks 1,000 Piece Puzzle","Cavallini Papers & Co. National Parks 1,000 Piece Puzzle,",Board Games,Amazon,,,"If you're feeling like an outdoorsy sort of puzzle to remind you what the great outdoors felt like, have we got the gift for you.","Lab Results: We are big fans of puzzles. The more of the National Parks your recipient has been to and will recognize, the more we recommend this gift. The build quality is high, with all of the pieces fitting snugly into their positions, and we especially like the vintage images chosen for each of the national parks.",28.99,null,null,12,120,,interestingAndFun,boardGames,nature,,"boardGames,nature",
100058,Chemex Coffeemaker,"Chemex Coffeemaker,",Home Chef,Amazon,,,Environmentally conscious coffee connoisseurs.,"Lab Results: The Chemex dates to 1941 and is the rare item that blends functionality with beauty seamlessly. If you prefer the subtle flavors provided by the pour over method, this is definitely the place to start.

This item pairs very well with the ~~ID=“100171” text=“Bean Box Sampler Kit”~~. Prefer the bolder flavors of espresso? We recommend the ~~ID=“100015” text=“Nespresso Essenza Mini”~~.",44.95,null,coworker,12,120,,essentials,homeChef,coffee,"coffee,indoors,delicious","homeChef,coffee",
100059,Tile Mate,"Tile Mate,",Technology,Amazon,,,Forgetful technologist who can never find their keys.,Lab Results: This is a perfect little stocking stuffer for the tech-enthusiast in your life. It falls neatly into a category of extremely intriguing but not something you might buy on your own without a little nudge.,24.99,null,coworker,12,120,,interestingAndFun,technology,"nerdy,technology","nerdy,technology","technology,nerdy,technology",
100060,Holiday Coffee Mug,"Holiday Coffee Mug,",Just for Fun,Amazon,,,The perfect mug when you're home alone.,"Lab Results: This is a simple one. If you know they are going to get the reference it makes a great White Elephant gift for a Coworker.

In the market for a different mug? Look to the~~ID=“100053” text=“stars”~~.",16.99,null,coworker,12,120,,interestingAndFun,homeChef,coffee,"coffee,indoors","homeChef,coffee",
100061,Queen Majesty Hot Sauce Trinity Sampler,"Queen Majesty Hot Sauce Trinity Sampler,",Home Chef,Amazon,,,This is a fun one for the more daring taco enthusiast.,"Lab Results: Sampler packs make great gifts by bring an extra element of surprise and fun to the table. The Queen Majesty hot sauce set showcases a variety of flavors in addition to varying levels of heat. If their palette leans spicy, there's a good chance they'll have a great time with this gift.

Like the idea of a sampler pack but unsure if hot sauce is the right move? Check out ~~ID=“100173” text=“Gusto's Original Barbecue Rubs”~~.",19.95,null,coworker,12,120,,interestingAndFun,homeChef,spicy,,"homeChef,spicy",
100064,Sushi Socks Box,"Sushi Socks Box,",Just for Fun,Amazon,,,Three cats in a trench coat.,"Lab Results: This is probably the best gift ever for a cat, but if you must get it for a human, find someone who appreciates socks that look good enough to eat. The presentation is what makes this a good gift. If they have a sense of humor, they'll love them.",19.99,null,null,12,120,,interestingAndFun,null,quirky,quirky,"justForFun,quirky",
100065,Jeasona Women's Fun Socks,"Jeasona Women's Fun Socks,",Just for Fun,Amazon,,,Do they have feet? Do they like cute cats? Do they have these socks? You see where we're going with this?,"Lab Results: We think there is too much of a stigma about giving socks as gifts. The trick is to know your audience. These things are cute, ask yourself if they'd appreciate that and gift away.",18.99,female,null,12,120,,interestingAndFun,cats,quirky,quirky,"justForFun,quirky",
100066,TriggerPoint GRID Foam Roller,"TriggerPoint GRID Foam Roller,",Health And Wellness,Amazon,,,Someone that needs a massage but is too cheap to get one.,"Lab Results: If getting into shape has brought its own aches and pains, this foam roller will help work things out. Workout items do make for a tricky gift though, as it's hard to tell who might really need on of these things. Still, if you're shopping for yourself, consider adding it to your Christmas list.",39.99,null,null,12,120,,essentials,healthAndWellness,"athletic,healthNut",athletic,"healthAndWellness,athletic,healthNut",
100067,Nintendo Switch Online Membership,"Nintendo Switch Online Membership,",Gaming,Amazon,,,"Switch owners that will love the nostalgia of having access to a library of classic NES and SNES games, but don't sleep on the wildly addictive Tetris 99.","Lab Results: This is essentially a gift card, so we find it works best if you already know the recipient is a subscriber. Think of it has buying them a free month (or more) of entertainment.",19.99,null,null,12,120,,"interestingAndFun,thoughtful",gaming,nerdy,"nerdy,indoors","gaming,nerdy",
100070,Pandemic Legacy,"Pandemic Legacy,",Board Games,Amazon,,,"Anyone stuck at home during a pandemic, so everyone really.","Lab Results: This game is so good you've probably already heard of it, but we think it makes a strong entry into board game night. Our favorite element is that the game inherently involves teamwork, with all players working to save the world. If that's more your speed than a competitive outing, we highly recommend it.",79.99,null,null,12,120,,interestingAndFun,boardGames,"competitive,nerdy","competitive,nerdy","boardGames,competitive,nerdy",
100072,Teamoy Dog Travel Backpack,"Teamoy Dog Travel Backpack,",Dogs,Amazon,,,For the dog that's going places.,"Lab Results: Once you have a couple of good size dogs in your life, carrying their stuff around does become a real concern. It can help to have a dedicated bag for when you know you're prepping for a picnic or a day at the beach.",48.99,null,null,12,120,,essentials,,"portable,dogs",dogs,"dogs,portable",
100073,Apple AirPods Pro (2nd Gen),"Apple AirPods Pro (2nd Gen),",Technology,Amazon,,,"Athletes, music lovers, podcast fans, and office dwellers, we can't recommend these enough.","Lab Results: Truth be told, I wanted to not like these. Still giving them a fair shake, they really deliver. They fit in the ear shockingly well and never fall out as you might fear. Battery life on a single charge is only 4-5 hours, but I rarely run into that issue in real life, since the requisite carrying case provides up to 24 hours of additional life. The main addition to the Pro series is Active Noise cancellation, which is a great add. I find myself listening to music and podcasts far more frequently now that I have a pair.",249,null,coworker,12,120,,essentials,"technology,homeOffice,music","nerdy,trendy,music,technology","trendy,music,technology","technology,trendy,music",
100074,Light Up Word Clock,"Light Up Word Clock,",Just for Fun,Amazon,,,"If they're always running late, they should at least have a cool clock let them know.","Lab Results: There's something vaguely steampunk about the whole ensemble that makes this clock pretty neat. As an important note, it's plug-in only rather than battery operated, but besides that there's a lot to like about this clock.",24.99,null,coworker,12,120,,interestingAndFun,technology,"nerdy,trendy,technology","nerdy,trendy,technology","justForFun,nerdy,trendy",
100075,D.S. & Durga Portable Fireplace Candle,"D.S. & Durga Portable Fireplace Candle,",Camping,Amazon,,,"If they're always running late, they should at least have a cool clock let them know.","Lab Results: This might feel like a high price point for a candle, but it smells stunningly like the real thing. This is a great gift for bachelor parties or office events where you know you're dealing with someone that loves the outdoors.",65,male,coworker,12,120,,thoughtful,camping,thoughtful,,"camping,thoughtful",
